Referencia,barcode,nombre,compra,venta,impuesto,categoria,modelo_funda,modelo_celular,color,inventario,Proveedores
superstar_Sam 03 core_morado,284,superstar_Sam 03 core_morado,,,000,Fundas,superstar,Sam 03 core,morado,1,
superstar_Sam 03 core_azul,285,superstar_Sam 03 core_azul,,,000,Fundas,superstar,Sam 03 core,azul,1,
jordan madera_Sam 03 core_madera,286,jordan madera_Sam 03 core_madera,,,000,Fundas,jordan madera,Sam 03 core,madera,2,
holster_Sam 03 core_negro,287,holster_Sam 03 core_negro,,,000,Fundas,holster,Sam 03 core,negro,2,
guess_sam a02s_blanco,288,guess_sam a02s_blanco,,,000,Fundas,guess,sam a02s,blanco,2,
holster_sam a02s_negro,289,holster_sam a02s_negro,,,000,Fundas,holster,sam a02s,negro,1,
space collection_sam a02s_transparente,290,space collection_sam a02s_transparente,,,000,Fundas,space collection,sam a02s,transparente,2,
calvinklein_sam a02s_negro,291,calvinklein_sam a02s_negro,,,000,Fundas,calvinklein,sam a02s,negro,3,
fosforescentes_sam a02s_azul,292,fosforescentes_sam a02s_azul,,,000,Fundas,fosforescentes,sam a02s,azul,1,
fosforescentes_sam a02s_amarillo,293,fosforescentes_sam a02s_amarillo,,,000,Fundas,fosforescentes,sam a02s,amarillo,1,
superstar_Sam 03 _rosa,294,superstar_Sam 03 _rosa,,,000,Fundas,superstar,Sam 03 ,rosa,1,
superstar_Sam 03 _negro,295,superstar_Sam 03 _negro,,,000,Fundas,superstar,Sam 03 ,negro,1,
case colors_Sam 03 _rosa,296,case colors_Sam 03 _rosa,,,000,Fundas,case colors,Sam 03 ,rosa,1,
case colors_Sam 03 _negro,297,case colors_Sam 03 _negro,,,000,Fundas,case colors,Sam 03 ,negro,1,
acrilico sencillo_Sam 03 _transparente,298,acrilico sencillo_Sam 03 _transparente,,,000,Fundas,acrilico sencillo,Sam 03 ,transparente,2,
holster_Sam 03 _negro,299,holster_Sam 03 _negro,,,000,Fundas,holster,Sam 03 ,negro,2,
holster_sam 03s_negro,300,holster_sam 03s_negro,,,000,Fundas,holster,sam 03s,negro,2,
case colors_sam 03s_rosa,301,case colors_sam 03s_rosa,,,000,Fundas,case colors,sam 03s,rosa,1,
superstar_sam 03s_rosa,302,superstar_sam 03s_rosa,,,000,Fundas,superstar,sam 03s,rosa,1,
case colors_sam 03s_tinto,303,case colors_sam 03s_tinto,,,000,Fundas,case colors,sam 03s,tinto,1,
superstar_sam 03s_negro,304,superstar_sam 03s_negro,,,000,Fundas,superstar,sam 03s,negro,1,
fosforescentes_sam 03s_naranja,305,fosforescentes_sam 03s_naranja,,,000,Fundas,fosforescentes,sam 03s,naranja,1,
fosforescentes_sam 03s_rosa,306,fosforescentes_sam 03s_rosa,,,000,Fundas,fosforescentes,sam 03s,rosa,1,
jordan madera_sam a10s_madera,307,jordan madera_sam a10s_madera,,,000,Fundas,jordan madera,sam a10s,madera,2,
holster_sam a10s_negro,308,holster_sam a10s_negro,,,000,Fundas,holster,sam a10s,negro,2,
holster_sam a03 core_negro,309,holster_sam a03 core_negro,,,000,Fundas,holster,sam a03 core,negro,2,
case colors_sam a03 core_morado,310,case colors_sam a03 core_morado,,,000,Fundas,case colors,sam a03 core,morado,1,
acrilico sencillo_sam a03 core_transparente,311,acrilico sencillo_sam a03 core_transparente,,,000,Fundas,acrilico sencillo,sam a03 core,transparente,2,
case colors_sam a03 core_azul marino,312,case colors_sam a03 core_azul marino,,,000,Fundas,case colors,sam a03 core,azul marino,1,
holster_sam a20/30/50_negro,313,holster_sam a20/30/50_negro,,,000,Fundas,holster,sam a20/30/50,negro,1,
nike madera_sam a20/30/50_madera,314,nike madera_sam a20/30/50_madera,,,000,Fundas,nike madera,sam a20/30/50,madera,2,
guess_sam a20/30_blanco,315,guess_sam a20/30_blanco,,,000,Fundas,guess,sam a20/30,blanco,2,
calvinklein_sam a20/30_negro,316,calvinklein_sam a20/30_negro,,,000,Fundas,calvinklein,sam a20/30,negro,2,
